Scenario Name,Policy,Placement,Group Size,Collective Count,Payload Blocks,Buffer Limit,Seed,Collective,Members,Max Load Factor,Recommended Lossless Rate,Combined Max Load Factor,Combined Recommended Uniform Rate,Bottleneck Links,Root Spine,Estimated Spine Blocks,Applied Host Offsets
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,static-lossless-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,20,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,intermediate-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,member-formula-rate,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,H_0_1:1|H_0_2:2
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,,,,H_0_1:1|H_0_2:2
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,H_0_1:1|H_0_2:2
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,H_0_1:1|H_0_2:2
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,30,
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__smart-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,30,
smoke__smart-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__smart-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__rack-compact__g4__c2__p100__b16__s1,static-lossless-rate,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__static-lossless-rate__rack-compact__g4__c2__p100__b16__s1,static-lossless-rate,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,10,
smoke__static-lossless-rate__rack-compact__g4__c2__p100__b16__s1,static-lossless-rate,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__static-lossless-rate__rack-compact__g4__c2__p100__b16__s1,static-lossless-rate,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__rack-compact__g4__c2__p100__b16__s1,intermediate-rate,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,20,
smoke__intermediate-rate__rack-compact__g4__c2__p100__b16__s1,intermediate-rate,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,20,
smoke__intermediate-rate__rack-compact__g4__c2__p100__b16__s1,intermediate-rate,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__intermediate-rate__rack-compact__g4__c2__p100__b16__s1,intermediate-rate,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__rack-compact__g4__c2__p100__b16__s1,member-formula-rate,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__member-formula-rate__rack-compact__g4__c2__p100__b16__s1,member-formula-rate,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,10,
smoke__member-formula-rate__rack-compact__g4__c2__p100__b16__s1,member-formula-rate,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__member-formula-rate__rack-compact__g4__c2__p100__b16__s1,member-formula-rate,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c2__p100__b16__s1,sequential-smart-recovery,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,
smoke__sequential-smart-recovery__rack-compact__g4__c2__p100__b16__s1,sequential-smart-recovery,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,30,
smoke__sequential-smart-recovery__rack-compact__g4__c2__p100__b16__s1,sequential-smart-recovery,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,
smoke__sequential-smart-recovery__rack-compact__g4__c2__p100__b16__s1,sequential-smart-recovery,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,
smoke__phase-offset-smart-recovery__rack-compact__g4__c2__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,2,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,30,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_2:3|H_1_3:1
smoke__phase-offset-smart-recovery__rack-compact__g4__c2__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,2,100,16,1,green,4,3,3.3333333333333335,3,3.3333333333333335,RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_1_0.p2<->H_1_0.pU,SS1,30,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_2:3|H_1_3:1
smoke__phase-offset-smart-recovery__rack-compact__g4__c2__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,2,100,16,1,blue,0,0,0,3,3.3333333333333335,,,,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_2:3|H_1_3:1
smoke__phase-offset-smart-recovery__rack-compact__g4__c2__p100__b16__s1,phase-offset-smart-recovery,rack-compact,4,2,100,16,1,orange,0,0,0,3,3.3333333333333335,,,,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_2:3|H_1_3:1
smoke__no-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__no-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__no-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__no-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,no-recovery-max-rate,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__smart-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__rack-compact__g8__c1__p100__b16__s1,static-lossless-rate,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__static-lossless-rate__rack-compact__g8__c1__p100__b16__s1,static-lossless-rate,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__rack-compact__g8__c1__p100__b16__s1,static-lossless-rate,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__rack-compact__g8__c1__p100__b16__s1,static-lossless-rate,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__intermediate-rate__rack-compact__g8__c1__p100__b16__s1,intermediate-rate,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,40,
smoke__intermediate-rate__rack-compact__g8__c1__p100__b16__s1,intermediate-rate,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__intermediate-rate__rack-compact__g8__c1__p100__b16__s1,intermediate-rate,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__intermediate-rate__rack-compact__g8__c1__p100__b16__s1,intermediate-rate,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__member-formula-rate__rack-compact__g8__c1__p100__b16__s1,member-formula-rate,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__member-formula-rate__rack-compact__g8__c1__p100__b16__s1,member-formula-rate,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__member-formula-rate__rack-compact__g8__c1__p100__b16__s1,member-formula-rate,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__member-formula-rate__rack-compact__g8__c1__p100__b16__s1,member-formula-rate,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__sequential-smart-recovery__rack-compact__g8__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__sequential-smart-recovery__rack-compact__g8__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,
smoke__sequential-smart-recovery__rack-compact__g8__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__sequential-smart-recovery__rack-compact__g8__c1__p100__b16__s1,sequential-smart-recovery,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__phase-offset-smart-recovery__rack-compact__g8__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,8,1,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,70,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_3:1
smoke__phase-offset-smart-recovery__rack-compact__g8__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,8,1,100,16,1,green,0,0,0,7,1.4285714285714286,,,,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_3:1
smoke__phase-offset-smart-recovery__rack-compact__g8__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,8,1,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_3:1
smoke__phase-offset-smart-recovery__rack-compact__g8__c1__p100__b16__s1,phase-offset-smart-recovery,rack-compact,8,1,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,H_0_1:1|H_0_2:2|H_1_0:1|H_1_1:2|H_1_3:1
smoke__no-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,8,2,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__no-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,8,2,100,16,1,green,8,7,1.4285714285714286,7,1.4285714285714286,RS_2_0.p3<->H_2_1.pU|RS_2_1.p2<->H_2_2.pU|RS_2_1.p3<->H_2_3.pU|RS_3_0.p2<->H_3_0.pU|RS_3_0.p3<->H_3_1.pU|RS_3_1.p2<->H_3_2.pU|RS_3_1.p3<->H_3_3.pU|RS_2_0.p2<->H_2_0.pU,SS1,70,
smoke__no-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,8,2,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__no-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,no-recovery-max-rate,rack-compact,8,2,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,2,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,70,
smoke__smart-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,2,100,16,1,green,8,7,1.4285714285714286,7,1.4285714285714286,RS_2_0.p3<->H_2_1.pU|RS_2_1.p2<->H_2_2.pU|RS_2_1.p3<->H_2_3.pU|RS_3_0.p2<->H_3_0.pU|RS_3_0.p3<->H_3_1.pU|RS_3_1.p2<->H_3_2.pU|RS_3_1.p3<->H_3_3.pU|RS_2_0.p2<->H_2_0.pU,SS1,70,
smoke__smart-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,2,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__smart-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,smart-recovery-max-rate,rack-compact,8,2,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__rack-compact__g8__c2__p100__b16__s1,static-lossless-rate,rack-compact,8,2,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__static-lossless-rate__rack-compact__g8__c2__p100__b16__s1,static-lossless-rate,rack-compact,8,2,100,16,1,green,8,7,1.4285714285714286,7,1.4285714285714286,RS_2_0.p3<->H_2_1.pU|RS_2_1.p2<->H_2_2.pU|RS_2_1.p3<->H_2_3.pU|RS_3_0.p2<->H_3_0.pU|RS_3_0.p3<->H_3_1.pU|RS_3_1.p2<->H_3_2.pU|RS_3_1.p3<->H_3_3.pU|RS_2_0.p2<->H_2_0.pU,SS1,10,
smoke__static-lossless-rate__rack-compact__g8__c2__p100__b16__s1,static-lossless-rate,rack-compact,8,2,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__static-lossless-rate__rack-compact__g8__c2__p100__b16__s1,static-lossless-rate,rack-compact,8,2,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__intermediate-rate__rack-compact__g8__c2__p100__b16__s1,intermediate-rate,rack-compact,8,2,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,40,
smoke__intermediate-rate__rack-compact__g8__c2__p100__b16__s1,intermediate-rate,rack-compact,8,2,100,16,1,green,8,7,1.4285714285714286,7,1.4285714285714286,RS_2_0.p3<->H_2_1.pU|RS_2_1.p2<->H_2_2.pU|RS_2_1.p3<->H_2_3.pU|RS_3_0.p2<->H_3_0.pU|RS_3_0.p3<->H_3_1.pU|RS_3_1.p2<->H_3_2.pU|RS_3_1.p3<->H_3_3.pU|RS_2_0.p2<->H_2_0.pU,SS1,40,
smoke__intermediate-rate__rack-compact__g8__c2__p100__b16__s1,intermediate-rate,rack-compact,8,2,100,16,1,blue,0,0,0,7,1.4285714285714286,,,,
smoke__intermediate-rate__rack-compact__g8__c2__p100__b16__s1,intermediate-rate,rack-compact,8,2,100,16,1,orange,0,0,0,7,1.4285714285714286,,,,
smoke__member-formula-rate__rack-compact__g8__c2__p100__b16__s1,member-formula-rate,rack-compact,8,2,100,16,1,red,8,7,1.4285714285714286,7,1.4285714285714286,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_1_0.p2<->H_1_0.pU|RS_1_0.p3<->H_1_1.pU|RS_1_1.p2<->H_1_2.pU|RS_1_1.p3<->H_1_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__member-formula-rate__rack-compact__g8__c2__p100__b16__s1,member-formula-rate,rack-compact,8,2,100,16,1,green,8,7,1.4285714285714286,7,1.4285714285714286,RS_2_0.p3<->H_2_1.pU|RS_2_1.p2<->H_2_2.pU|RS_2_1.p3<->H_2_3.pU|RS_3_0.p2<->H_3_0.pU|RS_3_0.p3<->H_3_1.pU|RS_3_1.p2<->H_3_2.pU|RS_3_1.p3<->H_3_3.pU|RS_2_0.p2<->H_2_0.pU,SS1,10,
